# Simulation 1 (Up to date)
# 877 data points written for 3 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (m),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.004,0.548,34.253
0.018,0.526,34.253
# Event LIFTOFF occurred at t=0.03 seconds
0.043,0.505,34.253
0.078,0.489,34.253
0.124,0.476,34.253
0.181,0.466,34.253
0.25,0.457,34.253
0.331,0.45,34.253
0.422,0.444,34.253
0.526,0.439,34.253
0.631,0.436,34.253
0.735,0.436,34.253
0.839,0.436,34.253
0.942,0.436,34.253
# Event LAUNCHROD occurred at t=0.139 seconds
1.044,0.436,34.253
1.209,0.436,34.253
1.479,0.436,34.253
1.937,0.436,34.253
2.419,0.436,34.253
2.917,0.437,34.253
3.455,0.437,34.253
4.066,0.437,34.253
4.804,0.437,34.253
5.869,0.438,34.253
7.666,0.438,34.253
8.705,0.438,34.253
9.353,0.439,34.253
9.901,0.439,34.253
10.405,0.439,34.253
10.886,0.439,34.253
11.357,0.439,34.253
11.828,0.439,34.253
12.31,0.44,34.253
12.815,0.44,34.253
13.363,0.44,34.253
13.99,0.44,34.253
14.773,0.44,34.253
15.985,0.441,34.253
17.89,0.441,34.253
18.648,0.441,34.253
19.263,0.442,34.253
19.819,0.442,34.253
20.348,0.442,34.253
20.872,0.442,34.253
21.405,0.442,34.253
21.977,0.442,34.253
22.631,0.443,34.253
23.447,0.443,34.253
24.696,0.443,34.253
26.624,0.444,34.253
27.653,0.444,34.253
28.417,0.444,34.253
29.109,0.444,34.253
29.784,0.444,34.253
30.466,0.445,34.253
31.212,0.445,34.253
32.089,0.445,34.253
33.35,0.445,34.253
35.257,0.445,34.253
36.659,0.445,34.253
37.514,0.445,34.253
38.264,0.445,34.253
38.987,0.445,34.253
39.737,0.445,34.253
40.568,0.445,34.253
41.612,0.445,34.253
43.173,0.445,34.253
45.504,0.445,34.253
46.371,0.445,34.253
47.112,0.445,34.253
# Event BURNOUT occurred at t=0.92 seconds
47.322,0.445,34.253
47.636,0.445,34.253
48.107,0.445,34.253
48.813,0.445,34.253
49.623,0.445,34.253
50.638,0.445,34.253
52.154,0.445,34.253
54.415,0.444,34.253
55.242,0.444,34.253
55.981,0.444,34.253
56.698,0.444,34.253
57.452,0.444,34.253
58.293,0.444,34.253
59.383,0.444,34.253
61.013,0.444,34.253
63.442,0.444,34.253
64.302,0.444,34.253
65.08,0.444,34.253
65.845,0.444,34.253
66.656,0.444,34.253
67.665,0.444,34.253
69.173,0.444,34.253
71.422,0.444,34.253
72.447,0.444,34.253
73.283,0.444,34.253
74.079,0.443,34.253
74.899,0.443,34.253
75.831,0.443,34.253
77.053,0.443,34.253
78.876,0.443,34.253
80.993,0.443,34.253
81.841,0.443,34.253
82.635,0.443,34.253
83.465,0.443,34.253
84.425,0.443,34.253
85.738,0.443,34.253
87.698,0.443,34.253
89.903,0.443,34.253
90.944,0.443,34.253
91.935,0.443,34.253
